date,country,active_users,content_created,reports,enforcements,appeals,successful_appeals,median_response_time_hours,reports_spam,reports_harassment_hate,reports_nudity,reports_misinformation,reports_child_safety,reports_other,reports_user,reports_ai,reports_trusted,enf_removed,enf_warning,enf_suspension,enf_downrank,report_rate,enforcement_rate,appeal_rate,appeal_success_rate,share_spam,share_harassment_hate,share_nudity,share_misinformation,share_child_safety,share_other,share_user,share_ai,share_trusted
2025-03-04,Philippines,200733,4133,39,26,0,0,26.3,18,3,5,8,0,5,11,24,4,15,3,0,8,0.009436244858456327,0.6666666666666666,0.0,,0.46153846153846156,0.07692307692307693,0.1282051282051282,0.20512820512820512,0.0,0.1282051282051282,0.28205128205128205,0.6153846153846154,0.10256410256410256
2025-03-04,Thailand,147273,4132,49,31,0,0,22.0,21,5,4,8,4,7,19,24,6,24,3,1,3,0.01185866408518877,0.6326530612244898,0.0,,0.42857142857142855,0.10204081632653061,0.08163265306122448,0.16326530612244897,0.08163265306122448,0.14285714285714285,0.3877551020408163,0.4897959183673469,0.12244897959183673
2025-03-04,Vietnam,179488,6794,64,44,1,0,22.3,26,10,6,10,0,12,20,36,8,24,8,0,12,0.009420076538121873,0.6875,0.022727272727272728,0.0,0.40625,0.15625,0.09375,0.15625,0.0,0.1875,0.3125,0.5625,0.125
2025-03-05,Singapore,49902,2288,30,19,0,0,22.2,11,7,1,6,0,5,6,19,5,9,4,1,5,0.013111888111888112,0.6333333333333333,0.0,,0.36666666666666664,0.23333333333333334,0.03333333333333333,0.2,0.0,0.16666666666666666,0.2,0.6333333333333333,0.16666666666666666
2025-03-05,Indonesia,413630,11949,130,101,8,0,26.4,53,28,12,21,3,13,43,69,18,65,11,6,19,0.01087957151226044,0.7769230769230769,0.07920792079207921,0.0,0.4076923076923077,0.2153846153846154,0.09230769230769231,0.16153846153846155,0.023076923076923078,0.1,0.33076923076923076,0.5307692307692308,0.13846153846153847
2025-03-05,Philippines,206585,4670,53,36,0,0,24.9,20,7,8,10,0,8,23,24,6,19,7,0,10,0.011349036402569594,0.6792452830188679,0.0,,0.37735849056603776,0.1320754716981132,0.1509433962264151,0.18867924528301888,0.0,0.1509433962264151,0.4339622641509434,0.4528301886792453,0.11320754716981132
2025-03-05,Thailand,165076,8160,102,74,4,0,27.5,41,16,14,20,2,9,47,42,13,44,15,1,14,0.0125,0.7254901960784313,0.05405405405405406,0.0,0.4019607843137255,0.1568627450980392,0.13725490196078433,0.19607843137254902,0.0196078431372549,0.08823529411764706,0.46078431372549017,0.4117647058823529,0.12745098039215685
2025-03-05,Vietnam,196619,6277,68,47,1,0,25.5,36,7,9,10,0,6,20,41,7,23,7,3,14,0.010833200573522384,0.6911764705882353,0.02127659574468085,0.0,0.5294117647058824,0.10294117647058823,0.1323529411764706,0.14705882352941177,0.0,0.08823529411764706,0.29411764705882354,0.6029411764705882,0.10294117647058823
2025-03-06,Singapore,47325,2167,28,16,0,0,20.6,7,5,2,9,3,2,12,14,2,11,2,0,3,0.012921089063221043,0.5714285714285714,0.0,,0.25,0.17857142857142858,0.07142857142857142,0.32142857142857145,0.10714285714285714,0.07142857142857142,0.42857142857142855,0.5,0.07142857142857142
2025-03-06,Indonesia,379369,16574,225,156,10,0,27.7,95,36,37,24,5,28,79,119,27,103,17,8,28,0.013575479666948232,0.6933333333333334,0.0641025641025641,0.0,0.4222222222222222,0.16,0.16444444444444445,0.10666666666666667,0.022222222222222223,0.12444444444444444,0.3511111111111111,0.5288888888888889,0.12
2025-03-06,Philippines,194708,5401,69,46,1,0,21.0,26,13,5,9,2,14,35,29,5,27,4,1,14,0.01277541196074801,0.6666666666666666,0.021739130434782608,0.0,0.37681159420289856,0.18840579710144928,0.07246376811594203,0.13043478260869565,0.028985507246376812,0.2028985507246377,0.5072463768115942,0.42028985507246375,0.07246376811594203
2025-03-06,Thailand,142962,5747,83,57,3,0,21.7,30,13,14,17,2,7,33,32,18,33,8,2,14,0.014442317730990082,0.6867469879518072,0.05263157894736842,0.0,0.3614457831325301,0.1566265060240964,0.1686746987951807,0.20481927710843373,0.024096385542168676,0.08433734939759036,0.39759036144578314,0.3855421686746988,0.21686746987951808
2025-03-06,Vietnam,185798,4123,53,33,0,0,24.4,23,8,6,9,2,5,17,30,6,22,3,0,8,0.012854717438758186,0.6226415094339622,0.0,,0.4339622641509434,0.1509433962264151,0.11320754716981132,0.16981132075471697,0.03773584905660377,0.09433962264150944,0.32075471698113206,0.5660377358490566,0.11320754716981132
2025-03-07,Singapore,53493,1952,17,10,0,0,25.6,7,5,2,1,1,1,4,11,2,7,2,0,1,0.008709016393442622,0.5882352941176471,0.0,,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.6470588235294118,0.11764705882352941
2025-03-07,Indonesia,398498,16247,254,171,14,1,20.2,104,42,23,42,5,38,99,131,24,91,28,9,43,0.015633655444081983,0.6732283464566929,0.08187134502923976,0.07142857142857142,0.4094488188976378,0.16535433070866143,0.09055118110236221,0.16535433070866143,0.01968503937007874,0.14960629921259844,0.38976377952755903,0.515748031496063,0.09448818897637795
2025-03-07,Philippines,189295,5831,55,39,0,0,23.3,28,7,4,9,1,6,21,29,5,24,8,1,6,0.009432344366317956,0.7090909090909091,0.0,,0.509090909090909,0.12727272727272726,0.07272727272727272,0.16363636363636364,0.01818181818181818,0.10909090909090909,0.38181818181818183,0.5272727272727272,0.09090909090909091
2025-03-07,Thailand,143327,4207,49,29,0,0,24.2,19,5,7,11,1,6,20,22,7,15,4,0,10,0.011647254575707155,0.5918367346938775,0.0,,0.3877551020408163,0.10204081632653061,0.14285714285714285,0.22448979591836735,0.02040816326530612,0.12244897959183673,0.40816326530612246,0.4489795918367347,0.14285714285714285
2025-03-07,Vietnam,171054,6232,74,49,1,0,20.7,34,7,9,16,1,7,30,38,6,29,4,2,14,0.011874197689345315,0.6621621621621622,0.02040816326530612,0.0,0.4594594594594595,0.0945945945945946,0.12162162162162163,0.21621621621621623,0.013513513513513514,0.0945945945945946,0.40540540540540543,0.5135135135135135,0.08108108108108109
2025-03-08,Singapore,49923,1987,25,14,0,0,27.2,8,1,2,4,1,9,12,11,2,10,1,1,2,0.012581781580271767,0.56,0.0,,0.32,0.04,0.08,0.16,0.04,0.36,0.48,0.44,0.08
2025-03-08,Indonesia,416751,14092,207,153,7,0,23.0,80,34,27,32,3,31,82,96,29,91,19,11,32,0.014689185353391995,0.7391304347826086,0.0457516339869281,0.0,0.3864734299516908,0.1642512077294686,0.13043478260869565,0.15458937198067632,0.014492753623188406,0.1497584541062802,0.3961352657004831,0.463768115942029,0.14009661835748793
2025-03-08,Philippines,191864,6212,81,55,2,0,20.1,28,12,13,19,1,8,33,41,7,33,10,3,9,0.013039278815196394,0.6790123456790124,0.03636363636363636,0.0,0.345679012345679,0.14814814814814814,0.16049382716049382,0.2345679012345679,0.012345679012345678,0.09876543209876543,0.4074074074074074,0.5061728395061729,0.08641975308641975
2025-03-08,Thailand,146042,5190,54,38,1,0,27.6,27,5,5,7,2,8,21,29,4,24,3,0,11,0.010404624277456647,0.7037037037037037,0.02631578947368421,0.0,0.5,0.09259259259259259,0.09259259259259259,0.12962962962962962,0.037037037037037035,0.14814814814814814,0.3888888888888889,0.5370370370370371,0.07407407407407407
2025-03-08,Vietnam,186942,6880,102,72,2,0,26.9,38,14,15,13,2,20,44,50,8,40,15,3,14,0.014825581395348838,0.7058823529411765,0.027777777777777776,0.0,0.37254901960784315,0.13725490196078433,0.14705882352941177,0.12745098039215685,0.0196078431372549,0.19607843137254902,0.43137254901960786,0.49019607843137253,0.0784313725490196
2025-03-09,Singapore,49271,2441,31,18,0,0,21.2,7,3,5,6,1,9,15,13,3,8,4,1,5,0.012699713232281851,0.5806451612903226,0.0,,0.22580645161290322,0.0967741935483871,0.16129032258064516,0.1935483870967742,0.03225806451612903,0.2903225806451613,0.4838709677419355,0.41935483870967744,0.0967741935483871
2025-03-09,Indonesia,368737,17130,208,148,8,0,26.0,87,26,21,47,4,23,85,106,17,76,20,7,45,0.012142440163455925,0.7115384615384616,0.05405405405405406,0.0,0.4182692307692308,0.125,0.10096153846153846,0.22596153846153846,0.019230769230769232,0.11057692307692307,0.40865384615384615,0.5096153846153846,0.08173076923076923
2025-03-09,Philippines,206347,5738,82,57,2,0,26.7,32,12,13,13,1,11,41,37,4,39,6,2,10,0.014290693621470896,0.6951219512195121,0.03508771929824561,0.0,0.3902439024390244,0.14634146341463414,0.15853658536585366,0.15853658536585366,0.012195121951219513,0.13414634146341464,0.5,0.45121951219512196,0.04878048780487805
2025-03-09,Thailand,158322,5643,51,36,0,0,24.0,24,7,3,12,2,3,16,27,8,21,5,1,9,0.009037745879851143,0.7058823529411765,0.0,,0.47058823529411764,0.13725490196078433,0.058823529411764705,0.23529411764705882,0.0392156862745098,0.058823529411764705,0.3137254901960784,0.5294117647058824,0.1568627450980392
2025-03-09,Vietnam,177218,7811,99,71,4,0,27.1,36,21,10,21,2,9,42,46,11,43,8,1,19,0.012674433491230316,0.7171717171717171,0.056338028169014086,0.0,0.36363636363636365,0.21212121212121213,0.10101010101010101,0.21212121212121213,0.020202020202020204,0.09090909090909091,0.42424242424242425,0.46464646464646464,0.1111111111111111
2025-03-10,Singapore,48120,1846,24,15,0,0,25.3,11,1,5,6,0,1,8,15,1,12,1,0,2,0.013001083423618635,0.625,0.0,,0.4583333333333333,0.041666666666666664,0.20833333333333334,0.25,0.0,0.041666666666666664,0.3333333333333333,0.625,0.041666666666666664
2025-03-10,Indonesia,378181,12448,128,89,7,0,21.1,54,20,15,23,0,16,46,67,15,62,7,0,20,0.010282776349614395,0.6953125,0.07865168539325842,0.0,0.421875,0.15625,0.1171875,0.1796875,0.0,0.125,0.359375,0.5234375,0.1171875
2025-03-10,Philippines,195892,7171,87,63,3,0,22.9,29,12,10,24,1,11,31,44,12,32,13,1,17,0.012132199135406498,0.7241379310344828,0.047619047619047616,0.0,0.3333333333333333,0.13793103448275862,0.11494252873563218,0.27586206896551724,0.011494252873563218,0.12643678160919541,0.3563218390804598,0.5057471264367817,0.13793103448275862
2025-03-10,Thailand,133983,5000,69,44,1,0,26.6,36,8,9,7,1,8,24,38,7,28,5,1,10,0.0138,0.6376811594202898,0.022727272727272728,0.0,0.5217391304347826,0.11594202898550725,0.13043478260869565,0.10144927536231885,0.014492753623188406,0.11594202898550725,0.34782608695652173,0.5507246376811594,0.10144927536231885
2025-03-10,Vietnam,208239,7998,77,57,2,0,21.0,28,11,9,20,1,8,27,36,14,39,7,2,9,0.009627406851712927,0.7402597402597403,0.03508771929824561,0.0,0.36363636363636365,0.14285714285714285,0.11688311688311688,0.2597402597402597,0.012987012987012988,0.1038961038961039,0.35064935064935066,0.4675324675324675,0.18181818181818182
2025-03-11,Singapore,48153,1680,17,10,0,0,21.1,5,3,0,4,0,5,5,11,1,6,1,0,3,0.01011904761904762,0.5882352941176471,0.0,,0.29411764705882354,0.17647058823529413,0.0,0.23529411764705882,0.0,0.29411764705882354,0.29411764705882354,0.6470588235294118,0.058823529411764705
2025-03-11,Indonesia,417798,17293,236,166,10,0,19.9,109,37,27,33,1,29,86,123,27,94,20,4,48,0.013647140461458394,0.7033898305084746,0.060240963855421686,0.0,0.461864406779661,0.15677966101694915,0.11440677966101695,0.13983050847457626,0.00423728813559322,0.1228813559322034,0.3644067796610169,0.5211864406779662,0.11440677966101695
2025-03-11,Philippines,205380,7305,95,65,2,0,26.1,38,17,11,11,1,17,36,48,11,44,5,0,16,0.013004791238877482,0.6842105263157895,0.03076923076923077,0.0,0.4,0.17894736842105263,0.11578947368421053,0.11578947368421053,0.010526315789473684,0.17894736842105263,0.37894736842105264,0.5052631578947369,0.11578947368421053
2025-03-11,Thailand,149688,5590,54,34,0,0,27.8,25,8,5,8,0,8,21,26,7,21,4,1,8,0.00966010733452594,0.6296296296296297,0.0,,0.46296296296296297,0.14814814814814814,0.09259259259259259,0.14814814814814814,0.0,0.14814814814814814,0.3888888888888889,0.48148148148148145,0.12962962962962962
2025-03-11,Vietnam,165617,5483,70,50,1,0,22.7,22,13,15,13,2,5,24,37,9,30,8,3,9,0.012766733540032828,0.7142857142857143,0.02,0.0,0.3142857142857143,0.18571428571428572,0.21428571428571427,0.18571428571428572,0.02857142857142857,0.07142857142857142,0.34285714285714286,0.5285714285714286,0.12857142857142856
2025-03-12,Singapore,51155,2231,22,13,0,0,26.3,9,3,3,5,0,2,12,8,2,9,1,0,3,0.009861048857014791,0.5909090909090909,0.0,,0.4090909090909091,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.0,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.09090909090909091
2025-03-12,Indonesia,390429,15932,227,156,10,0,22.2,86,37,20,49,0,35,93,112,22,84,27,3,42,0.014248054230479538,0.6872246696035242,0.0641025641025641,0.0,0.3788546255506608,0.16299559471365638,0.0881057268722467,0.21585903083700442,0.0,0.15418502202643172,0.40969162995594716,0.4933920704845815,0.09691629955947137
2025-03-12,Philippines,209577,8683,117,83,5,0,21.0,45,18,13,18,5,18,45,60,12,45,14,3,21,0.013474605551076817,0.7094017094017094,0.060240963855421686,0.0,0.38461538461538464,0.15384615384615385,0.1111111111111111,0.15384615384615385,0.042735042735042736,0.15384615384615385,0.38461538461538464,0.5128205128205128,0.10256410256410256
2025-03-12,Thailand,141622,6534,83,54,1,0,23.6,39,12,9,10,3,10,29,45,9,33,4,0,17,0.012702785430058157,0.6506024096385542,0.018518518518518517,0.0,0.46987951807228917,0.14457831325301204,0.10843373493975904,0.12048192771084337,0.03614457831325301,0.12048192771084337,0.3493975903614458,0.5421686746987951,0.10843373493975904
2025-03-12,Vietnam,170892,4794,52,33,0,0,21.3,22,12,5,10,0,3,21,26,5,20,4,2,7,0.01084689194826867,0.6346153846153846,0.0,,0.4230769230769231,0.23076923076923078,0.09615384615384616,0.19230769230769232,0.0,0.057692307692307696,0.40384615384615385,0.5,0.09615384615384616
2025-03-13,Singapore,47840,2030,27,18,0,0,24.1,10,3,3,5,0,6,7,15,5,13,2,0,3,0.013300492610837438,0.6666666666666666,0.0,,0.37037037037037035,0.1111111111111111,0.1111111111111111,0.18518518518518517,0.0,0.2222222222222222,0.25925925925925924,0.5555555555555556,0.18518518518518517
2025-03-13,Indonesia,397182,11147,131,98,5,0,20.6,58,19,12,21,2,19,51,64,16,60,13,2,23,0.011752040907867588,0.7480916030534351,0.05102040816326531,0.0,0.44274809160305345,0.1450381679389313,0.0916030534351145,0.16030534351145037,0.015267175572519083,0.1450381679389313,0.3893129770992366,0.48854961832061067,0.12213740458015267
2025-03-13,Philippines,210648,7392,75,48,0,0,24.6,35,11,10,8,2,9,28,43,4,28,6,3,11,0.010146103896103896,0.64,0.0,,0.4666666666666667,0.14666666666666667,0.13333333333333333,0.10666666666666667,0.02666666666666667,0.12,0.37333333333333335,0.5733333333333334,0.05333333333333334
2025-03-13,Thailand,133949,3149,34,22,0,0,26.2,11,7,3,8,2,3,14,17,3,19,0,0,3,0.010797078437599238,0.6470588235294118,0.0,,0.3235294117647059,0.20588235294117646,0.08823529411764706,0.23529411764705882,0.058823529411764705,0.08823529411764706,0.4117647058823529,0.5,0.08823529411764706
2025-03-13,Vietnam,163112,4339,49,30,1,0,20.4,18,4,6,12,2,7,20,24,5,17,5,1,7,0.011292924637013136,0.6122448979591837,0.03333333333333333,0.0,0.3673469387755102,0.08163265306122448,0.12244897959183673,0.24489795918367346,0.04081632653061224,0.14285714285714285,0.40816326530612246,0.4897959183673469,0.10204081632653061
2025-03-14,Singapore,51549,2107,22,15,0,0,27.7,11,3,3,3,0,2,7,13,2,9,2,0,4,0.01044138585666825,0.6818181818181818,0.0,,0.5,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.09090909090909091,0.3181818181818182,0.5909090909090909,0.09090909090909091
2025-03-14,Indonesia,406701,11172,146,102,6,0,25.1,58,35,13,20,4,16,55,63,28,66,12,7,17,0.013068385248836377,0.6986301369863014,0.058823529411764705,0.0,0.3972602739726027,0.23972602739726026,0.08904109589041095,0.136986301369863,0.0273972602739726,0.1095890410958904,0.3767123287671233,0.4315068493150685,0.1917808219178082
2025-03-14,Philippines,203161,8192,92,70,2,0,20.2,41,14,10,17,2,8,38,40,14,47,5,4,14,0.01123046875,0.7608695652173914,0.02857142857142857,0.0,0.44565217391304346,0.15217391304347827,0.10869565217391304,0.18478260869565216,0.021739130434782608,0.08695652173913043,0.41304347826086957,0.43478260869565216,0.15217391304347827
2025-03-14,Thailand,146127,7198,98,66,3,0,20.2,31,12,14,27,1,13,41,49,8,38,5,2,21,0.013614893025840511,0.673469387755102,0.045454545454545456,0.0,0.3163265306122449,0.12244897959183673,0.14285714285714285,0.2755102040816326,0.01020408163265306,0.1326530612244898,0.41836734693877553,0.5,0.08163265306122448
2025-03-14,Vietnam,178232,5802,69,48,0,0,22.7,30,10,9,9,3,8,24,35,10,26,7,1,14,0.011892450879007239,0.6956521739130435,0.0,,0.43478260869565216,0.14492753623188406,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.11594202898550725,0.34782608695652173,0.5072463768115942,0.14492753623188406
2025-03-15,Singapore,48670,1100,12,6,0,0,23.2,7,2,0,1,0,2,2,9,1,5,0,0,1,0.01090909090909091,0.5,0.0,,0.5833333333333334,0.16666666666666666,0.0,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.75,0.08333333333333333
2025-03-15,Indonesia,423902,16068,253,183,9,0,27.3,105,45,19,45,5,34,103,124,26,113,18,8,44,0.01574558127956186,0.7233201581027668,0.04918032786885246,0.0,0.4150197628458498,0.17786561264822134,0.07509881422924901,0.17786561264822134,0.019762845849802372,0.13438735177865613,0.40711462450592883,0.4901185770750988,0.10276679841897234
2025-03-15,Philippines,203313,5758,61,40,1,0,23.2,31,2,9,9,2,8,21,30,10,29,3,1,7,0.010593956234803751,0.6557377049180327,0.025,0.0,0.5081967213114754,0.03278688524590164,0.14754098360655737,0.14754098360655737,0.03278688524590164,0.13114754098360656,0.3442622950819672,0.4918032786885246,0.16393442622950818
2025-03-15,Thailand,154000,6918,65,43,0,0,20.1,28,9,6,12,1,9,26,28,11,29,4,2,8,0.009395779126915294,0.6615384615384615,0.0,,0.4307692307692308,0.13846153846153847,0.09230769230769231,0.18461538461538463,0.015384615384615385,0.13846153846153847,0.4,0.4307692307692308,0.16923076923076924
2025-03-15,Vietnam,181165,6112,64,43,1,0,24.6,27,7,8,13,2,7,23,36,5,28,3,0,12,0.010471204188481676,0.671875,0.023255813953488372,0.0,0.421875,0.109375,0.125,0.203125,0.03125,0.109375,0.359375,0.5625,0.078125
2025-03-16,Singapore,49246,1536,15,6,0,0,22.2,4,2,2,3,1,3,6,6,3,4,0,0,2,0.009765625,0.4,0.0,,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.06666666666666667,0.2,0.4,0.4,0.2
2025-03-16,Indonesia,363641,7701,85,59,2,0,20.0,27,21,9,14,1,13,31,41,13,40,8,0,11,0.011037527593818985,0.6941176470588235,0.03389830508474576,0.0,0.3176470588235294,0.24705882352941178,0.10588235294117647,0.16470588235294117,0.011764705882352941,0.15294117647058825,0.36470588235294116,0.4823529411764706,0.15294117647058825
2025-03-16,Philippines,207597,7726,87,64,2,0,21.8,31,7,16,19,0,14,38,43,6,36,9,1,18,0.011260678229355423,0.735632183908046,0.03125,0.0,0.3563218390804598,0.08045977011494253,0.1839080459770115,0.21839080459770116,0.0,0.16091954022988506,0.4367816091954023,0.4942528735632184,0.06896551724137931
2025-03-16,Thailand,141343,5708,52,37,0,0,26.2,14,9,9,13,1,6,20,22,10,26,2,1,8,0.009110021023125438,0.7115384615384616,0.0,,0.2692307692307692,0.17307692307692307,0.17307692307692307,0.25,0.019230769230769232,0.11538461538461539,0.38461538461538464,0.4230769230769231,0.19230769230769232
2025-03-16,Vietnam,164234,3482,50,30,0,0,24.1,28,4,3,7,0,8,20,26,4,12,5,2,11,0.014359563469270534,0.6,0.0,,0.56,0.08,0.06,0.14,0.0,0.16,0.4,0.52,0.08
2025-03-17,Singapore,48636,1941,27,18,0,0,22.9,7,7,4,5,0,4,12,14,1,10,4,0,4,0.013910355486862442,0.6666666666666666,0.0,,0.25925925925925924,0.25925925925925924,0.14814814814814814,0.18518518518518517,0.0,0.14814814814814814,0.4444444444444444,0.5185185185185185,0.037037037037037035
2025-03-17,Indonesia,382595,16018,230,158,9,0,20.5,95,38,23,43,6,25,107,103,20,104,16,4,34,0.014358846297914845,0.6869565217391305,0.056962025316455694,0.0,0.41304347826086957,0.16521739130434782,0.1,0.18695652173913044,0.02608695652173913,0.10869565217391304,0.4652173913043478,0.44782608695652176,0.08695652173913043
2025-03-17,Philippines,225546,8174,77,53,2,0,22.5,31,12,9,15,2,8,29,41,7,35,3,2,13,0.009420112551994127,0.6883116883116883,0.03773584905660377,0.0,0.4025974025974026,0.15584415584415584,0.11688311688311688,0.19480519480519481,0.025974025974025976,0.1038961038961039,0.37662337662337664,0.5324675324675324,0.09090909090909091
2025-03-17,Thailand,145184,4648,44,30,0,0,26.3,21,5,4,7,1,6,16,25,3,16,5,2,7,0.00946643717728055,0.6818181818181818,0.0,,0.4772727272727273,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.022727272727272728,0.13636363636363635,0.36363636363636365,0.5681818181818182,0.06818181818181818
2025-03-17,Vietnam,179588,6986,99,69,3,0,21.2,46,18,6,13,5,11,31,53,15,47,6,2,14,0.014171199541941026,0.696969696969697,0.043478260869565216,0.0,0.46464646464646464,0.18181818181818182,0.06060606060606061,0.13131313131313133,0.050505050505050504,0.1111111111111111,0.31313131313131315,0.5353535353535354,0.15151515151515152
2025-03-18,Singapore,47922,1044,12,6,0,0,20.3,6,1,1,2,0,2,3,8,1,4,0,0,2,0.011494252873563218,0.5,0.0,,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.25,0.6666666666666666,0.08333333333333333
